data,valor
01/01/2000,0.62
01/02/2000,0.13
01/03/2000,0.22
01/04/2000,0.42
01/05/2000,0.01
01/06/2000,0.23
01/07/2000,1.61
01/08/2000,1.31
01/09/2000,0.23
01/10/2000,0.14
01/11/2000,0.32
01/12/2000,0.59
01/01/2001,0.57
01/02/2001,0.46
01/03/2001,0.38
01/04/2001,0.58
01/05/2001,0.41
01/06/2001,0.52
01/07/2001,1.33
01/08/2001,0.70
01/09/2001,0.28
01/10/2001,0.83
01/11/2001,0.71
01/12/2001,0.65
01/01/2002,0.52
01/02/2002,0.36
01/03/2002,0.60
01/04/2002,0.80
01/05/2002,0.21
01/06/2002,0.42
01/07/2002,1.19
01/08/2002,0.65
01/09/2002,0.72
01/10/2002,1.31
01/11/2002,3.02
01/12/2002,2.10
01/01/2003,2.25
01/02/2003,1.57
01/03/2003,1.23
01/04/2003,0.97
01/05/2003,0.61
01/06/2003,-0.15
01/07/2003,0.20
01/08/2003,0.34
01/09/2003,0.78
01/10/2003,0.29
01/11/2003,0.34
01/12/2003,0.52
01/01/2004,0.76
01/02/2004,0.61
01/03/2004,0.47
01/04/2004,0.37
01/05/2004,0.51
01/06/2004,0.71
01/07/2004,0.91
01/08/2004,0.69
01/09/2004,0.33
01/10/2004,0.44
01/11/2004,0.69
01/12/2004,0.86
01/01/2005,0.58
01/02/2005,0.59
01/03/2005,0.61
01/04/2005,0.87
01/05/2005,0.49
01/06/2005,-0.02
01/07/2005,0.25
01/08/2005,0.17
01/09/2005,0.35
01/10/2005,0.75
01/11/2005,0.55
01/12/2005,0.36
01/01/2006,0.59
01/02/2006,0.41
01/03/2006,0.43
01/04/2006,0.21
01/05/2006,0.10
01/06/2006,-0.21
01/07/2006,0.19
01/08/2006,0.05
01/09/2006,0.21
01/10/2006,0.33
01/11/2006,0.31
01/12/2006,0.48
01/01/2007,0.44
01/02/2007,0.44
01/03/2007,0.37
01/04/2007,0.25
01/05/2007,0.28
01/06/2007,0.28
01/07/2007,0.24
01/08/2007,0.47
01/09/2007,0.18
01/10/2007,0.30
01/11/2007,0.38
01/12/2007,0.74
01/01/2008,0.54
01/02/2008,0.49
01/03/2008,0.48
01/04/2008,0.55
01/05/2008,0.79
01/06/2008,0.74
01/07/2008,0.53
01/08/2008,0.28
01/09/2008,0.26
01/10/2008,0.45
01/11/2008,0.36
01/12/2008,0.28
01/01/2009,0.48
01/02/2009,0.55
01/03/2009,0.20
01/04/2009,0.48
01/05/2009,0.47
01/06/2009,0.36
01/07/2009,0.24
01/08/2009,0.15
01/09/2009,0.24
01/10/2009,0.28
01/11/2009,0.41
01/12/2009,0.37
01/01/2010,0.75
01/02/2010,0.78
01/03/2010,0.52
01/04/2010,0.57
01/05/2010,0.43
01/06/2010,0.00
01/07/2010,0.01
01/08/2010,0.04
01/09/2010,0.45
01/10/2010,0.75
01/11/2010,0.83
01/12/2010,0.63
01/01/2011,0.83
01/02/2011,0.80
01/03/2011,0.79
01/04/2011,0.77
01/05/2011,0.47
01/06/2011,0.15
01/07/2011,0.16
01/08/2011,0.37
01/09/2011,0.53
01/10/2011,0.43
01/11/2011,0.52
01/12/2011,0.50
01/01/2012,0.56
01/02/2012,0.45
01/03/2012,0.21
01/04/2012,0.64
01/05/2012,0.36
01/06/2012,0.08
01/07/2012,0.43
01/08/2012,0.41
01/09/2012,0.57
01/10/2012,0.59
01/11/2012,0.60
01/12/2012,0.79
01/01/2013,0.86
01/02/2013,0.60
01/03/2013,0.47
01/04/2013,0.55
01/05/2013,0.37
01/06/2013,0.26
01/07/2013,0.03
01/08/2013,0.24
01/09/2013,0.35
01/10/2013,0.57
01/11/2013,0.54
01/12/2013,0.92
01/01/2014,0.55
01/02/2014,0.69
01/03/2014,0.92
01/04/2014,0.67
01/05/2014,0.46
01/06/2014,0.40
01/07/2014,0.01
01/08/2014,0.25
01/09/2014,0.57
01/10/2014,0.42
01/11/2014,0.51
01/12/2014,0.78
01/01/2015,1.24
01/02/2015,1.22
01/03/2015,1.32
01/04/2015,0.71
01/05/2015,0.74
01/06/2015,0.79
01/07/2015,0.62
01/08/2015,0.22
01/09/2015,0.54
01/10/2015,0.82
01/11/2015,1.01
01/12/2015,0.96
01/01/2016,1.27
01/02/2016,0.90
01/03/2016,0.43
01/04/2016,0.61
01/05/2016,0.78
01/06/2016,0.35
01/07/2016,0.52
01/08/2016,0.44
01/09/2016,0.08
01/10/2016,0.26
01/11/2016,0.18
01/12/2016,0.30
01/01/2017,0.38
01/02/2017,0.33
01/03/2017,0.25
01/04/2017,0.14
01/05/2017,0.31
01/06/2017,-0.23
01/07/2017,0.24
01/08/2017,0.19
01/09/2017,0.16
01/10/2017,0.42
01/11/2017,0.28
01/12/2017,0.44
01/01/2018,0.29
01/02/2018,0.32
01/03/2018,0.09
01/04/2018,0.22
01/05/2018,0.40
01/06/2018,1.26
01/07/2018,0.33
01/08/2018,-0.09
01/09/2018,0.48
01/10/2018,0.45
01/11/2018,-0.21
01/12/2018,0.15
01/01/2019,0.32
01/02/2019,0.43
01/03/2019,0.75
01/04/2019,0.57
01/05/2019,0.13
01/06/2019,0.01
01/07/2019,0.19
01/08/2019,0.11
01/09/2019,-0.04
01/10/2019,0.10
01/11/2019,0.51
01/12/2019,1.15
01/01/2020,0.21
01/02/2020,0.25
01/03/2020,0.07
01/04/2020,-0.31
01/05/2020,-0.38
01/06/2020,0.26
01/07/2020,0.36
01/08/2020,0.24
01/09/2020,0.64
01/10/2020,0.86
01/11/2020,0.89
01/12/2020,1.35
01/01/2021,0.25
01/02/2021,0.86
01/03/2021,0.93
01/04/2021,0.31
01/05/2021,0.83
01/06/2021,0.53
01/07/2021,0.96
01/08/2021,0.87
01/09/2021,1.16
01/10/2021,1.25
01/11/2021,0.95
01/12/2021,0.73
01/01/2022,0.54
